id_szkoly,egz_norm_sr_hum,egz_norm_std_hum,ewd_min90_hum,ewd_max90_hum,egz_norm_sr_mp,egz_norm_std_mp,ewd_min90_mp,ewd_max90_mp,gwiazdki_pow
14039,102.69,13.77,0.5,2.32,101.78,13.93,-0.39,1.35,3.0
14041,112.03,11.27,3.36,6.33,108.74,11.54,-0.03,2.82,4.0
14042,100.35,14.06,-0.46,0.55,98.64,14.14,-2.25,-1.28,3.0
14043,96.74,14.15,-2.28,-1.16,96.52,14.01,-2.24,-1.16,3.0
14044,97.74,13.43,-1.79,-0.4,99.07,13.58,-0.7,0.63,3.0
14045,118.31,10.9,3.72,6.44,119.93,11.33,3.85,6.46,5.0
14047,94.93,13.35,-1.31,0.5,96.13,13.23,0.33,2.07,3.0
14048,95.91,13.47,-2.41,-1.14,97.69,13.4,-0.32,0.9,3.0
14049,91.03,12.23,-3.9,-1.42,92.83,12.11,-1.68,0.7,2.0
14050,93.92,13.11,-3.39,-0.8,96.79,12.72,-0.28,2.2,3.0
14051,96.37,13.73,-2.57,-0.9,96.53,13.67,-2.03,-0.42,3.0
14052,103.42,12.93,0.97,3.44,101.93,13.13,-0.38,2.0,3.0
14053,96.14,13.8,-2.76,-1.12,92.4,13.65,-6.41,-4.84,2.0
14054,106.08,13.47,1.77,2.98,103.11,13.82,-0.82,0.35,4.0
14055,95.23,13.72,-4.2,-2.02,94.8,13.93,-4.64,-2.55,3.0
14057,100.15,13.11,2.48,4.49,98.5,12.84,1.08,3.01,3.0
14058,105.97,13.52,0.52,4.43,106.59,14.29,-0.56,3.24,4.0
14059,96.23,12.73,-3.18,-0.72,93.98,12.46,-4.96,-2.6,3.0
14060,76.44,10.27,-8.93,-5.64,80.41,9.41,-6.76,-3.6,1.0
14061,96.49,13.63,-2.85,-1.4,97.34,13.67,-1.59,-0.2,3.0
14062,103.78,13.04,-1.38,-0.41,104.73,13.37,-0.58,0.34,4.0
14063,107.68,12.82,1.82,4.24,108.02,13.22,1.67,3.98,4.0
14064,93.01,14.23,-4.14,-2.56,94.48,14.18,-2.52,-1.0,3.0
14065,93.23,14.2,-0.32,1.44,93.46,13.62,-0.35,1.35,3.0
