id_szkoly,nazwa,adres,miejscowosc,kod_pocztowy,poczta,typ_szkoly,publiczna,dla_doroslych,specjalna,przyszpitalna,wojewodztwo,powiat,gmina,id_wojewodztwa,id_powiatu,id_gminy
31682,Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi i Oddziałami Sportowymi w Zespole Szkół Samorządowych im. 1 Pułku Ułanów Krechowieckich w Augustowie,ul. Mickiewicza 1,,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,1
31679,Szkoła Podstawowa nr 6 im. Armii Krajowej w Augustowie,ul. Tartaczna 21,,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,1
31680,Społeczna Szkoła Podstawowa Społecznego Towarzystwa Oświatowego w Zespole Szkół Społecznych STO w Augustowie,ul. Zarzecze 17 A,,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,1
31681,Szkoła Podstawowa nr 2 im. Zygmunta Augusta w Augustowie,ul. Rajgrodzka 1,,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,1
31683,Szkoła Podstawowa nr 4 im. Marii Konopnickiej w Augustowie,ul. Marii Konopnickiej 5,,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,1
18555,Gimnazjum nr 2 im. Sybiraków w Augustowie,Nowomiejska 41,Augustów,16-300,Augustów,gimn.,True,False,False,False,podlaskie,augustowski,Augustów,20,1,1
18550,Gimnazjum nr 4 w Zespole Szkół Ogólnokształcących w Augustowie,Śródmieście 31,Augustów,16-300,Augustów,gimn.,True,False,False,False,podlaskie,augustowski,Augustów,20,1,1
18551,Gimnazjum nr 1 im. Marszałka Józefa Piłsudskiego w Augustowie,Młyńska 35,Augustów,16-300,Augustów,gimn.,True,False,False,False,podlaskie,augustowski,Augustów,20,1,1
18552,Gimnazjum nr 3 z Oddziałami Integracyjnymi im.1 Pułku Ułanów Krechowieckich w Zespole Szkół Samorządowych w Augustowie,Mickiewicza 1,Augustów,16-300,Augustów,gimn.,True,False,False,False,podlaskie,augustowski,Augustów,20,1,1
18553,Gimnazjum dla Dorosłych nr 1 w Augustowskim Centrum Edukacyjnym Centrum Kształcenia Ustawicznego w Augustowie,Al. Kardynała Wyszyńskiego 3,Augustów,16-300,Augustów,gimn.,True,True,False,False,podlaskie,augustowski,Augustów,20,1,1
18554,Społeczne Gimnazjum Społecznego Towarzystwa Oświatowego w Zespole Szkół Społecznych STO w Augustowie,Zarzecze 17A,Augustów,16-300,Augustów,gimn.,False,False,False,False,podlaskie,augustowski,Augustów,20,1,1
31685,"Szkoła Podstawowa im. majora Henryka Dobrzańskiego ""Hubala"" w Kolnicy",48,Kolnica,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
31684,Szkoła Podstawowa im. Armii Krajowej w Janówce,45,Janówka,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
31686,Szkoła Podstawowa im. Sybiraków w Netcie,14,Netta Pierwsza,16-320,Bargłów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
31687,Szkoła Postawowa im. Stefana Kardynała Wyszyńskiego  w Jabłońskich,25,Jabłońskie,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
31688,Szkoła Podstawowa im. Jana Pawła II w Żarnowie,1,Żarnowo,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
31689,Szkoła Podstawowa im. Obrońców Westerplatte w Rutkach,1,Rutki Nowe,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
31690,Szkoła Podstawowa w Zespole Szkół im. Gen. I. Prądzyńskiego w Białobrzegach,75,Białobrzegi,16-300,Augustów,SP,,,,,podlaskie,augustowski,Augustów,20,1,2
18558,Gimnazjum w Zespole Szkół im. gen. I. Prądzyńskiego w Białobrzegach,75,Białobrzegi,16-300,Augustów,gimn.,True,False,False,False,podlaskie,augustowski,Augustów,20,1,2
18557,Gimnazjum w Janówce,48A,Janówka,16-300,Augustów,gimn.,True,False,False,False,podlaskie,augustowski,Augustów,20,1,2
18556,Gimnazjum Specjalne w Augustowie,Jeziorna 31,,16-300,Augustów,gimn.,False,False,True,False,podlaskie,augustowski,Augustów,20,1,2
31695,Szkoła Podstawowa w Rygałówce,1,Rygałówka,16-315,Lipsk,SP,,,,,podlaskie,augustowski,Lipsk,20,1,4
31696,Szkoła Podstawowa w Bartnikach,8,Bartniki,16-315,Lipsk,SP,,,,,podlaskie,augustowski,Lipsk,20,1,4
31697,Zespół Szkół Samorządowych w Lipsku Szkoła Podstawowa im. Anastazji Milewskiej w Lipsku,ul. Szkolna 1,,16-315,Lipsk,SP,,,,,podlaskie,augustowski,Lipsk,20,1,4
18560,Gimnazjum im. Stefana Batorego w Zespole Szkół Samorządowych w Lipsku,Szkolna 1,Lipsk,16-315,Lipsk,gimn.,True,False,False,False,podlaskie,augustowski,Lipsk,20,1,4
31691,Szkoła Podstawowa w Kroszewie,27,Kroszewo,16-320,Bargłów Kościelny,SP,,,,,podlaskie,augustowski,Bargłów Kościelny,20,1,3
31692,Szkoła Podstawowa w Zespole Szkół w Bargłowie Kościelnym,ul. Augustowska 8,,16-320,Bargłów Kościelny,SP,,,,,podlaskie,augustowski,Bargłów Kościelny,20,1,3
31693,Szkoła Podstawowa im Błogosławionego Jana Pawła II w Łabętniku,10,Łabętnik,16-320,Bargłów Kościelny,SP,,,,,podlaskie,augustowski,Bargłów Kościelny,20,1,3
