id_szkoly,lp_sio,odl_dop,telefon,fax,www,oddzialy,liczba_uczniow,specjalna,publiczna
18555,4638,0,876432230,876432230,http://www.gim2.vdl.pl,9,240,False,True
18550,4640,0,876432402,876432402,http://piramowicz.internetdsl.pl,9,261,False,True
18551,4637,0,876432226,876432226,http://www.gim.jedynka.prv.pl,7,157,False,True
18552,4639,0,,,,10,253,False,True
18553,4636,0,,,,2,29,False,True
18554,4643,0,876432729,876432729,http://www.spoleczna.com.pl,,,False,False
18558,4644,1,876449225,876449225,http://zsbialobrzegi.edupage.org,6,101,False,True
18557,4645,1,876449333,876449333,http://www.gimjanowka.republika.pl,6,127,False,True
18556,4642,2,876430921,,,,,True,False
18560,4647,0,876423059,876423059,http://www.zsslipsk.home.pl,9,178,False,True
18559,4646,0,876424078,876424078,http://zsbarglow.edu.pl,8,182,False,True
18561,4648,1,876419596,876419596,http://www.zsnowinka.nazwa.pl,5,90,False,True
18564,4651,0,876412033,876412033,http://www.gimsztabin.nazwa.pl,6,123,False,True
18563,4650,1,876414004,876414004,,3,53,False,True
18562,4649,1,876418726,876418726,http://www.zsoplaska.pl,4,76,False,True
18565,4652,0,857131480,857191017,http://zs.choroszcz.pl,14,335,False,True
18568,4655,0,857197153,857197864,,8,198,False,True
18574,4660,0,857152331,857152331,http://zs.lapy.pl,3,55,False,True
18572,4661,2,857151624,857157185,http://www.zsplonka.pl,5,99,False,True
18573,4659,0,857152942,857152930,http://www.gimlapy.net.pl,19,447,False,True
18566,4653,0,857101007,857101007,http://www.czargim.neostrada.pl,9,254,False,True
18567,4654,0,857109174,857109174,http://www.zsczwk.net,3,63,False,True
18577,4666,0,857418078,857418078,http://www.szkolasobolewo.pl,3,62,False,True
18578,4665,0,851783016,857183016,http://www.suprasl-zss.internetdsl.pl,7,137,False,True
18569,4656,0,857180233,857180233,http://www.gimgrodek.edu.pl,6,112,False,True
18570,4657,2,857196678,857195700,http://www.zsj.home.pl,6,127,False,True
18571,4658,0,,,,14,306,False,True
18583,4671,0,857185263,857185291,http://gimnazjum-wasilkow.edu.pl,16,374,False,True
18584,4672,0,857104923,857104923,http://www.gimzszwasilkow.edupage.org,,,False,False
18576,4664,1,856501307,856501341,,6,109,False,True
18575,4663,0,857189515,857189515,http://gzsmich.pl,7,152,False,True
18579,4667,0,856503121,856503121,http://www.surazszkola.republika.pl,4,67,False,True
18580,4668,0,,,,7,182,False,True
18585,4673,0,857188021,857188025,http://www.gimzabludow.edupage.org,9,172,False,True
18581,4670,1,857182024,857182005,http://www.szkolaradule.com,3,30,False,True
18582,4669,0,857187070,857187070,http://www.zsip-tykocin.pl,6,124,False,True
18586,4674,0,,,,5,96,False,True
18607,4695,0,862731047,862731029,http://www.gim-wasosz.pl,6,139,False,True
18605,4693,0,862721416,862721416,http://gimraj.w.interia.pl,6,153,False,True
18604,4692,0,862736480,862736480,http://radzilow.net,6,165,False,True
18599,4689,0,862722852,862722852,http://www.gimnazjum3.grajewo.com,10,252,False,True
18600,4687,0,862724828,862722965,http://www.pg1grajewo.republika.pl,10,213,False,True
18601,4688,0,862726225,862726225,,11,283,False,True
18602,4690,2,862723115,862723115,http://www.zs3.grajewo.net.pl,5,41,True,True
18603,4691,1,862723109,862723109,http://www.gminagrajewo.pl,8,178,False,True
18606,4694,1,862725088,862725088,http://www.pgszczuczyn.edu.pl,8,200,False,True
18662,4754,0,857120217,857120217,http://www.gimdabrowa.szkolnastrona.pl,15,332,False,True
18664,4757,0,857216013,857216013,,8,144,False,True
18669,4762,0,,,,4,81,False,True
18667,4760,0,857224002,857227002,http://www.zskuznica.szkolnastrona.pl,6,134,False,True
18666,4759,0,857228648,857228648,,3,69,False,True
18665,4758,0,857219004,857219004,http://gimkorycin.com.pl,6,112,False,True
18668,4761,0,857226005,,,5,81,False,True
18670,4765,0,857112484,857112484,http://www.zso.sokolka.com,6,145,False,True
18671,4764,0,857113579,857113579,http://www.gimnet.eu,19,461,False,True
18672,4763,0,857112136,857112136,http://www.republika.pl/sokolkazsi,6,119,False,True
18673,4766,1,857112678,857112678,http://www.soswsokolka.pl,3,22,True,True
18674,4767,0,857125303,857125303,http://www.gimnazjumwsuchowoli.pl,9,205,False,True
18675,4768,0,857221405,,,5,88,False,True
18682,4775,1,875639027,875639027,http://www.plociczno.pl,3,36,False,True
18683,4777,2,875637761,875637761,http://www.staryfolwark.edu.pl,3,40,False,True
18684,4776,1,875638084,875638084,http://www.zsprzebrod.pl,3,35,False,True
18680,4773,0,875686136,875686136,http://www.gimraczki.prv.pl,11,229,False,True
18681,4774,1,875687218,875687218,,3,82,False,True
18676,4769,0,875694284,875694284,http://zsbakalarzewo.szkolnastrona.pl,5,107,False,True
18677,4770,0,875696029,875696002,,6,135,False,True
18678,4771,0,875683029,875683033,http://zsjeleniewo.edupage.org,6,100,False,True
18679,4772,0,875691009,875691007,http://www.zsoprzerosl.superszkolna.pl,6,125,False,True
18685,4778,1,875647041,875647041,http://www.zs-kaletnik.c0.pl,3,62,False,True
18686,4779,1,875681077,,http://www.zs-slobodka.c0.pl,4,83,False,True
18687,4780,0,875688008,,http://www.gimnazjum.wizajny.pl,5,89,False,True
18706,4799,1,862718416,862714751,http://www.sosw.zambrow.org/,6,49,True,True
18704,4797,1,862701019,,,9,188,False,True
18705,4798,0,864768018,864769086,http://www.szkolaszumowo.pl,7,166,False,True
18700,4795,0,862710092,862710092,http://www.szkolysweirp.pl,,,False,False
18701,4794,0,862712908,862712908,http://www.gim.zambrow.org,22,570,False,True
18702,4793,1,862712708,862712621,http://www.lokonarski.zambrow.edu.pl,14,384,False,True
18703,4796,0,862703481,,,3,82,False,True
18542,4711,2,862782854,,,3,32,False,True
18623,4714,1,862783014,862783014,,7,197,False,True
18620,4710,0,862781342,862781342,http://www.gimnazjumkolno.pl,15,357,False,True
18621,4712,0,862790059,862790059,,6,144,False,True
18624,4715,0,862791127,,,7,155,False,True
18625,4716,0,862785229,862785533,http://www.gimnazjumstawiski.rb.pl,10,230,False,True
18626,4717,0,862786115,862786115,http://www.gimnazjum.turosl.pl,10,214,False,True
18614,4704,1,,,,3,40,False,True
18616,4706,0,856824631,856824631,,3,62,False,True
18618,4708,0,856816644,856816644,,4,75,False,True
18619,4709,0,856858087,856858296,http://republika.pl/zespolszkolnarewka/,4,68,False,True
18608,4697,0,856832508,856832508,http://www.zs3hajnowka.friko.pl,6,138,False,True
18609,4696,0,856822078,856822078,,6,108,False,True
18610,4700,0,856822496,856824288,http://www.lo2hajn.atmax.pl,7,156,False,True
18611,4698,0,856822866,856822866,http://www.zsznr2hajnowka.edupage.org,7,113,False,True
18615,4705,0,,,,5,31,False,True
18612,4702,0,856812397,856812397,http://www.zsbialowieza.republika.pl,3,51,False,True
18617,4707,0,856818116,856818030,http://www.kleszczele.fr.pl,3,63,False,True
18613,4703,0,856850057,856850057,http://www.zspczeremcha.pl,4,79,False,True
18630,4720,0,862175517,222131745,,6,149,False,True
18633,4723,1,864738399,864738399,,9,191,False,True
18627,4718,0,862172010,862172010,,7,165,False,True
18631,4721,0,862164590,,http://www.gimpiat.hg.pl,15,349,False,True
18629,4719,1,862174826,862174826,http://www.pgmiastkowo.pl,8,146,False,True
18634,4724,0,862196460,862196460,,6,142,False,True
18632,4722,0,862177029,862177029,,3,70,False,True
18635,4725,1,862140010,862140010,http://wwwgimnazjumzbojna.za.pl,6,153,False,True
18643,4734,0,857162237,857162237,http://www.lesna03.edupage.org,17,440,False,True
18636,4727,0,857380004,857380004,http://zspgoniadz.neostrada.pl,6,125,False,True
18637,4726,0,857380023,857380023,http://www.mowgoniadz.pl,3,58,True,True
18638,4728,0,857160002,857160002,http://jasionowka.edu.pl,6,103,False,True
